Date,cotton
01/31/2013,85.17
02/28/2013,92.55
03/31/2013,102.61
04/30/2013,103.74
05/31/2013,96.07
06/30/2013,88.54
07/31/2013,93.41
08/31/2013,91.51
09/30/2013,93.19
10/31/2013,96.95
11/30/2013,90.16
12/31/2013,89.8
01/31/2014,92.48
02/28/2014,94.73
03/31/2014,94.25
04/30/2014,92.72
05/31/2014,87.12
06/30/2014,85.04
07/31/2014,81.23
08/31/2014,73.76
09/30/2014,71.51
10/31/2014,67.07
11/30/2014,64.31
12/31/2014,62.08
01/31/2015,63.09
02/28/2015,59.52
03/31/2015,60.15
04/30/2015,70.53
05/31/2015,67.89
06/30/2015,66.51
07/31/2015,65.11
08/31/2015,62.2
09/30/2015,59.01
10/31/2015,60.24
11/30/2015,60.15
12/31/2015,57.47
01/31/2016,59.88
02/29/2016,64.53
03/31/2016,65.99
04/30/2016,71.32
05/31/2016,75.55
06/30/2016,77.94
07/31/2016,78.9
08/31/2016,79.67
09/30/2016,76.19
10/31/2016,78.51
11/30/2016,75.95
12/31/2016,80.72
01/31/2017,86.1
02/28/2017,87.64
03/31/2017,87.45
04/30/2017,87.04
05/31/2017,85.65
06/30/2017,83.34
07/31/2017,78.73
08/31/2017,76.53
09/30/2017,77.35
10/31/2017,74.04
11/30/2017,73.36
12/31/2017,77.71
01/31/2018,86.21
02/28/2018,85.25
03/31/2018,90.44
04/30/2018,92.69
05/31/2018,97.1
06/30/2018,98.71
07/31/2018,88.77
08/31/2018,82.2
09/30/2018,77.17
10/31/2018,81.23
11/30/2018,77.42
12/31/2018,77.4
01/31/2019,78.67
02/28/2019,78.25
03/31/2019,75.57
04/30/2019,74.56
05/31/2019,71.72
06/30/2019,71.92
07/31/2019,69.04
08/31/2019,60.99
09/30/2019,59.27
10/31/2019,60.78
11/30/2019,61.49
12/31/2019,64.81
01/31/2020,65.21
02/29/2020,65.3
03/31/2020,59.42
04/30/2020,51.88
05/31/2020,47.12
06/30/2020,52.12
07/31/2020,51.97
08/31/2020,56.45
09/30/2020,58.41
10/31/2020,64.35
11/30/2020,71.7
12/31/2020,74.4
01/31/2021,80.05
02/28/2021,88.51
03/31/2021,88.59
04/30/2021,88.22
05/31/2021,97.3
06/30/2021,97.22
07/31/2021,96.45
08/31/2021,100.04
09/30/2021,100.36
10/31/2021,106.64
11/30/2021,109.75
12/31/2021,112.24
01/31/2022,122.89
02/28/2022,134.17
03/31/2022,141.36
04/30/2022,151.52
05/31/2022,160.6
06/30/2022,146.84
07/31/2022,112.67
08/31/2022,122.89
09/30/2022,117.65
10/31/2022,98.96
11/30/2022,98.87
12/31/2022,100.92
01/31/2023,102.45
02/28/2023,100.89
03/31/2023,93.05
04/30/2023,85.62
05/31/2023,78.69
06/30/2023,81.58
07/31/2023,79.11
08/31/2023,81.95
09/30/2023,81.4
10/31/2023,79.57
11/30/2023,79.43
12/31/2023,80.46
01/31/2024,80.71
02/29/2024,82.96
03/31/2024,84.2
04/30/2024,77.69
05/31/2024,74.97
06/30/2024,72.79
07/31/2024,73.42
08/31/2024,71.97
09/30/2024,71.52
10/31/2024,70.43
11/30/2024,67.99
12/31/2024,67.9
01/31/2025,68.79
02/28/2025,71.64
03/31/2025,73.00
